municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Aracati,Bela Cruz,False,369.7252,350.068333
Aracati,Boa Viagem,False,316.3924,305.1
Aracati,Brejo Santo,False,424.0899,338.985
Aracati,Camocim,False,493.0951,460.311667
Aracati,Campos Sales,False,494.811,429.928333
Aracati,Canindé,False,215.0385,221.286667
Aracati,Caririaçu,False,405.7647,320.968333
Aracati,Cascavel,False,87.2394,78.503333
Aracati,Caucaia,True,163.6793,156.141667
Aracati,Cedro,False,329.0971,275.511667
Aracati,Chorozinho,False,100.6739,86.531667
Aracati,Crateús,True,424.9129,410.915
Aracati,Crato,False,444.3332,349.84
Aracati,Cruz,False,383.3128,359.486667
Aracati,Eusébio,True,127.3431,120.07
Aracati,Forquilha,False,354.8362,322.563333
Aracati,Fortaleza,False,147.8114,145.121667
Aracati,Granja,False,466.6074,437.835
Aracati,Guaiúba,False,152.4085,138.533333
Aracati,Guaraciaba do Norte,False,399.607,407.276667
Aracati,Horizonte,True,124.4903,120.608333
Aracati,Ibiapina,False,444.3653,411.455
Aracati,Icapuí,False,54.7401,49.981667
Aracati,Icó,False,285.6968,234.713333
Aracati,Iguatu,False,338.3693,284.011667
Aracati,Independência,False,375.1511,363.898333
Aracati,Ipu,False,393.8111,389.95
Aracati,Ipueiras,False,401.2206,396.378333
Aracati,Itaitinga,False,131.5926,124.165
Aracati,Itapajé,False,270.2577,249.401667
Aracati,Itapipoca,True,276.5212,260.853333
Aracati,Itarema,False,350.1444,334.653333
Aracati,Jaguaribe,False,216.7976,182.223333
Aracati,Jaguaruana,False,51.7495,48.315
Aracati,Jardim,False,481.5255,389.335
Aracati,Juazeiro do Norte,True,433.3598,341.421667
Aracati,Lavras da Mangabeira,False,343.7208,277.646667
Aracati,Limoeiro do Norte,False,102.4172,98.66
Aracati,Maracanaú,False,152.59,146.358333
Aracati,Maranguape,False,159.4363,149.141667
Aracati,Marco,False,360.7659,340.291667
Aracati,Massapê,False,393.8106,361.308333
Aracati,Mauriti,False,415.3193,335.383333
Aracati,Milagres,False,402.756,323.208333
Aracati,Missão Velha,False,429.9259,345.625
Aracati,Mombaça,False,326.1541,310.678333
Aracati,Morada Nova,False,123.6418,115.798333
Aracati,Nova Russas,False,401.1219,397.416667
Aracati,Novo Oriente,False,466.8102,448.715
Aracati,Ocara,False,109.7293,105.715
Aracati,Pacajus,False,114.1746,98.1
Aracati,Pacatuba,False,143.4846,135.446667
Aracati,Paracuru,False,229.9558,219.201667
Aracati,Paraipaba,False,234.3642,224.151667
Aracati,Parambu,False,474.4619,429.321667
Aracati,Pedra Branca,False,302.7291,296.57
Aracati,Pentecoste,False,232.423,219.981667
Aracati,Quixadá,True,176.5035,168.28
Aracati,Quixeramobim,False,219.4108,212.581667
Aracati,Redenção,False,134.0423,129.018333
Aracati,Russas,True,71.4417,67.553333
Aracati,Santa Quitéria,False,319.3914,320.915
Aracati,Santana do Acaraú,False,375.8093,354.518333
Aracati,Senador Pompeu,False,287.5519,267.803333
Aracati,Sobral,True,372.466,341.056667
Aracati,São Benedito,False,459.0026,427.035
Aracati,São Gonçalo do Amarante,False,201.9713,192.165
Aracati,Tabuleiro do Norte,False,113.8633,109.643333
Aracati,Tamboril,False,385.0068,383.195
Aracati,Tauá,False,413.7322,383.865
Aracati,Tianguá,False,458.8325,418.241667
Aracati,Trairi,False,266.2197,255.97
Aracati,Ubajara,False,451.7559,419.623333
Aracati,Viçosa do Ceará,False,489.2178,440.1
Aracati,Várzea Alegre,False,383.8217,312.408333
Aracoiaba,Acaraú,False,298.5673,273.05
Aracoiaba,Acopiara,False,256.7054,277.08
Aracoiaba,Amontada,False,231.1971,210.765
Aracoiaba,Aquiraz,False,94.3497,85.825
Aracoiaba,Aracati,False,139.7689,136.211667
Aracoiaba,Aracoiaba,False,0.0,0.0
Aracoiaba,Aurora,False,368.4984,348.935
Aracoiaba,Barbalha,False,415.8313,385.99
Aracoiaba,Baturité,False,12.217,13.473333
Aracoiaba,Beberibe,False,100.6689,105.021667
Aracoiaba,Bela Cruz,False,293.6987,270.34
Aracoiaba,Boa Viagem,False,178.1798,183.556667
Aracoiaba,Brejo Santo,False,422.8308,381.536667
Aracoiaba,Camocim,False,358.1361,373.998333
Aracoiaba,Campos Sales,False,432.4134,430.283333
Aracoiaba,Canindé,False,76.465,87.043333
Aracoiaba,Caririaçu,False,377.2236,352.333333
Aracoiaba,Cascavel,False,81.8207,87.586667
Aracoiaba,Caucaia,True,87.6527,76.413333
Aracoiaba,Cedro,False,305.7043,296.86
Aracoiaba,Chorozinho,False,40.4863,53.946667
Aracoiaba,Crateús,True,313.1158,301.555
Aracoiaba,Crato,False,415.792,381.205
Aracoiaba,Cruz,False,307.2862,279.758333
Aracoiaba,Eusébio,True,86.9373,76.588333
Aracoiaba,Forquilha,False,215.0203,235.248333
Aracoiaba,Fortaleza,False,83.3604,79.35
Aracoiaba,Granja,False,331.5793,352.668333
Aracoiaba,Guaiúba,False,45.6801,42.67
Aracoiaba,Guaraciaba do Norte,False,261.0335,273.033333
Aracoiaba,Horizonte,True,62.08,78.185
Aracoiaba,Ibiapina,False,297.6136,307.143333
Aracoiaba,Icapuí,False,191.8379,181.016667
Aracoiaba,Icó,False,283.5702,275.993333
Aracoiaba,Iguatu,False,274.2463,282.198333
Aracoiaba,Independência,False,263.354,254.538333
Aracoiaba,Ipu,False,255.2376,255.706667
Aracoiaba,Ipueiras,False,262.6471,262.135
Aracoiaba,Itaitinga,False,64.6886,57.483333
Aracoiaba,Itapajé,False,194.2312,169.673333
Aracoiaba,Itapipoca,True,200.4947,181.125
Aracoiaba,Itarema,False,274.1179,254.925
Aracoiaba,Jaguaribe,False,266.0059,253.3
Aracoiaba,Jaguaruana,False,156.4097,161.32
Aracoiaba,Jardim,False,452.9843,420.7
Aracoiaba,Juazeiro do Norte,True,404.8187,372.786667
Aracoiaba,Lavras da Mangabeira,False,342.4617,320.198333
Aracoiaba,Limoeiro do Norte,False,168.7098,176.16
Aracoiaba,Maracanaú,False,67.5501,58.776667
Aracoiaba,Maranguape,False,69.7085,61.056667
Aracoiaba,Marco,False,284.7393,260.563333
Aracoiaba,Massapê,False,253.0254,272.108333
Aracoiaba,Mauriti,False,414.0602,377.935
Aracoiaba,Milagres,False,401.4969,365.76
Aracoiaba,Missão Velha,False,428.6668,388.176667
Aracoiaba,Mombaça,False,217.1788,231.561667
Aracoiaba,Morada Nova,False,122.009,140.016667
Aracoiaba,Nova Russas,False,262.5484,263.173333
Aracoiaba,Novo Oriente,False,355.013,339.355
Aracoiaba,Ocara,False,36.4124,36.495
Aracoiaba,Pacajus,False,55.2597,59.108333
Aracoiaba,Pacatuba,False,53.7568,47.361667
Aracoiaba,Paracuru,False,153.9293,139.473333
Aracoiaba,Paraipaba,False,158.3377,144.423333
Aracoiaba,Parambu,False,362.6742,319.908333
Aracoiaba,Pedra Branca,False,207.7513,214.113333
Aracoiaba,Pentecoste,False,156.3965,140.253333
Aracoiaba,Quixadá,True,81.8149,85.78
Aracoiaba,Quixeramobim,False,124.433,130.125
Aracoiaba,Redenção,False,23.6253,28.946667
Aracoiaba,Russas,True,137.7343,145.053333
Aracoiaba,Santa Quitéria,False,180.8179,186.671667
Aracoiaba,Santana do Acaraú,False,299.7827,274.79
Aracoiaba,Senador Pompeu,False,178.2309,191.006667
Aracoiaba,Sobral,True,231.6809,251.856667
Aracoiaba,São Benedito,False,283.323,295.253333
Aracoiaba,São Gonçalo do Amarante,False,125.9448,112.436667
Aracoiaba,Tabuleiro do Norte,False,166.5231,182.921667
Aracoiaba,Tamboril,False,246.4333,248.951667
Aracoiaba,Tauá,False,301.9445,274.451667
Aracoiaba,Tianguá,False,318.0474,329.041667
Aracoiaba,Trairi,False,190.1932,176.241667
Aracoiaba,Ubajara,False,300.9383,316.828333
Aracoiaba,Viçosa do Ceará,False,348.4327,350.9
Aracoiaba,Várzea Alegre,False,347.9443,336.953333
Aurora,Acaraú,False,686.7084,606.886667
Aurora,Acopiara,False,163.2197,152.315
